Questioner.Quote.Offer,Lender ID,Amortization,Status,Month#,TopicCreatedOn
50416788-0802-4571-8895-53d9abd66f2acbc3181e-0ce7-4b71-9481-a4c56a775aaa418606f7-a3eb-47e3-8b59-9936d228a15c,83,Variable,1,6,2018-06-03 19:50:46 GMT
0e9aea55-e885-4b3d-9890-772e3a49ed72e4f3ff6e-4cae-4fe8-b196-c4e6238ffc9bad1780f7-c1aa-4286-ac1b-f5c91faad21e,83,Variable,1,6,2018-06-04 00:49:02 GMT
73f827c4-9ee9-4ed1-ba13-8008ceba73ddc2779df0-1b51-47d9-a564-89be4f21965dd4093935-5ec5-4cd2-b7ae-e58bac6fa944,136,Variable,1,6,2018-06-04 15:04:45 GMT
6f07fd0d-2eb0-4869-8320-142b51bee027dd396daf-8858-47f5-8c6f-20c2e1cf730efcbd4e22-2b59-42eb-b5aa-17f682989b2b,232,Variable,1,6,2018-06-04 16:58:00 GMT
5d9f9b37-0dc5-4208-9542-e349f05ee6b4f79cda0f-74bd-40b6-b74d-f6d38f3fbbed6bebe6c0-4621-47c3-9acb-4370a964c208,136,Variable,1,6,2018-06-04 18:31:29 GMT
c062bde3-449c-4b88-9803-38310a43a98e26b27a53-1f3f-4e09-af73-8b9d32fd2b6df7a9557a-e023-4173-874f-6479a4be189c,83,Variable,1,6,2018-06-04 18:59:09 GMT
c062bde3-449c-4b88-9803-38310a43a98e26b27a53-1f3f-4e09-af73-8b9d32fd2b6df7a9557a-e023-4173-874f-6479a4be189c,83,Variable,1,6,2018-06-04 19:02:16 GMT
30f75cf4-3fed-476a-a0b2-634278a7758e816977fc-b7d1-4f9a-b7ee-555142123ec54211bff7-5193-47f2-9646-7945a1d7f293,83,Variable,1,6,2018-06-04 21:20:16 GMT
018b3c5f-d39a-4056-bb7c-7be307021e9d8b369dc8-f18c-4b19-86a2-fc2c51b8d3758c24f360-c65a-4ae6-b545-cb2aa716780e,83,Variable,1,6,2018-06-04 22:57:25 GMT
06ed79d4-491e-4cd6-ba2d-0393f98cc4365dbf852b-c7cb-4941-b13f-e3586b3fc6d0dacf14d1-4718-4c30-a35d-82ab8133356a,232,Variable,1,6,2018-06-04 23:19:45 GMT
fcc6f7c3-7a2e-47a1-bdf7-6f933a75321a366abe87-0eab-4fc9-8584-5abd9cba0906911c8f34-77ae-4e32-932d-4e1990032ea9,83,Variable,1,6,2018-06-04 23:45:19 GMT
7fd780dd-4bd3-437f-8388-a4522db8ed1e9c0c0745-81d5-420e-8706-7bd5531f03521fa5fac6-afce-4512-84b9-bf3c55666e62,83,Variable,1,6,2018-06-05 00:01:11 GMT
16e7df50-0aa6-4ca0-954e-d88dd0446bafd1c08d62-8ce8-4bf9-89ba-707b1ab45ca3280aafe2-f7f8-43ac-8cc9-6bd6e1ebf482,9,Variable,1,6,2018-06-05 00:25:31 GMT
3e4b0570-b8cb-4392-99ce-28f09591034c31977ab9-f2de-43d8-bf48-d0fc4967891cec9834c2-3d8b-4511-a028-3a53668e3459,83,Variable,1,6,2018-06-05 01:41:33 GMT
96e31614-8dc2-4d3f-bf3b-4484e477dabb7b5d2121-0825-4cf3-98f6-a583744b9cd9b4cdae52-d586-48e9-b5d5-874db1fa3afa,83,Variable,1,6,2018-06-05 07:14:15 GMT
